#
# This file is made from pedestal file determined by Tony
# from RUN7705. I added constant gain values (80,30) so that
# this can be used as the base calibration of RICH.
#
# Name (bankID=1)
ADC
# start time 
2000 5 1 0 0 0
# end time 
2000 9 1 0 0 0
# description 
ADC pedestal from RUN7705. PE=80, PEW=30 for all live channels.
# calibration data. 5120 entries
# status PMT Ped PedW PE PEW Nped N1 N2 N3 chisqr
SM 323 -1.64097 3.32974 80 30 1141.25 0 0 0 7.49355
SM 324 -1.48263 3.15809 80 30 1198.26 0 0 0 13.3353
SM 325 -1.71519 2.92716 80 30 1297.21 0 0 0 13.7121
SM 326 -1.68387 2.86855 80 30 1326.58 0 0 0 7.66665
SM 327 -1.70691 2.9183 80 30 1295.49 0 0 0 21.2265
SM 328 -1.68392 2.84525 80 30 1324.41 0 0 0 29.7166
SM 329 -1.42069 2.97292 80 30 1274.25 0 0 0 19.0284
SM 330 -1.80394 2.82587 80 30 1341.95 0 0 0 11.3431
SM 331 -1.8005 3.05786 80 30 1238.28 0 0 0 10.1131
SM 332 -7.64604 2.82727 80 30 1334.05 0 0 0 26.8557
SM 333 -1.33194 3.00964 80 30 1241.88 0 0 0 37.5419
SM 334 -1.8103 3.23461 80 30 1154.46 0 0 0 42.2644
SM 335 -1.7451 3.5267 80 30 1072.72 0 0 0 18.0513
SM 336 -2.01765 10.4226 80 30 350.405 0 0 0 96.2709
SM 337 -1.73539 3.14785 80 30 1196.34 0 0 0 28.0522
SM 338 -1.87912 2.32484 80 30 1624.74 0 0 0 9.16039
SM 339 -1.5665 2.36265 80 30 1598.12 0 0 0 7.02888
SM 340 -1.60738 2.30436 80 30 1637.91 0 0 0 10.5872
SM 341 -1.69577 2.276 80 30 1654.62 0 0 0 8.01294
SM 342 -1.84453 2.22273 80 30 1692.67 0 0 0 15.4598
SM 343 -1.74969 2.1812 80 30 1727.61 0 0 0 3.20555
SM 344 -1.61766 2.33152 80 30 1621.84 0 0 0 6.24301
SM 345 -1.87894 2.27939 80 30 1660.29 0 0 0 4.63101
SM 346 -1.77501 2.20883 80 30 1700.31 0 0 0 11.9931
SM 347 -1.70588 2.26001 80 30 1668.06 0 0 0 4.83973
SM 348 -8.00065 2.12184 80 30 1820.58 0 0 0 12.7143
SM 349 -1.84777 2.27537 80 30 1663.34 0 0 0 8.4158
SM 350 -1.86218 2.33971 80 30 1613.71 0 0 0 10.0632
SM 351 -1.7536 2.2701 80 30 1660.9 0 0 0 11.1631
SM 352 -1.48671 7.64303 80 30 479.056 0 0 0 86.8848
SM 353 -1.08797 2.45169 80 30 1536.76 0 0 0 19.1165
SM 354 -0.887048 2.15665 80 30 1740.9 0 0 0 7.56114
SM 355 -0.835876 2.18583 80 30 1720.37 0 0 0 5.48916
SM 356 -0.925846 2.18219 80 30 1717.41 0 0 0 8.43265
SM 357 -0.993882 2.15179 80 30 1740.08 0 0 0 6.47445
